ls_states,ground_truth,observed_nb
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 314, 302]",115,31
"[473, 390, 477, 121]",64,21
"[476, 471, 258, 479, 487]",181,42
"[476, 471, 258, 479, 486, 488, 320, 495, 12, 371, 44]",156,67
"[476, 471, 258, 479, 486, 488, 321, 496, 18, 423, 20, 260, 356, 45, 282]",105,38
"[476, 471, 258, 480, 253, 250, 40]",254,76
"[476, 471, 258, 479, 486, 488, 322]",131,51
"[473, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",146,37
"[473, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",18,4
"[473, 389, 115, 405, 96, 76, 339, 94]",164,28
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",76,29
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",18,7
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",13,4
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",109,32
"[473, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",24,9
"[473, 390, 477, 122]",21,7
"[474, 376, 225, 224, 208, 307]",36,13
"[473, 389, 114, 116, 380, 335]",111,32
"[473, 389, 115, 405, 96, 75, 100, 338]",99,24
"[473, 389, 115, 405, 96, 75, 99, 142]",87,18
"[473, 389, 114, 116, 378, 182, 178]",20,14
"[473, 389, 115, 405, 96, 75, 100, 337, 70, 318]",11,6
"[474, 376, 226, 28, 241]",49,12
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",6,1
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 197, 53]",3,1
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 198]",16,2
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 198]",1,0
"[483, 408, 62]",81,10
"[484, 479, 486, 488, 321, 497]",111,20
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",53,18
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",17,5
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 168, 467, 166]",2,1
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",2,1
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 73]",79,23
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 100, 337, 73]",2,0
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 35, 302]",154,48
"[483, 408, 61, 375, 390, 477, 121]",30,10
"[483, 409, 225, 223, 390, 477, 121]",1,0
"[484, 479, 487]",91,14
"[484, 479, 486, 488, 320, 495, 12, 371, 44]",66,15
"[484, 479, 486, 488, 321, 496, 18, 423, 20, 260, 356, 45, 282]",48,9
"[484, 480, 253, 250, 40]",139,34
"[484, 479, 486, 488, 322]",71,20
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",15,4
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",80,18
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",4,3
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 94]",83,26
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 94]",3,1
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 34, 30, 315, 277, 411, 268]",22,8
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",6,1
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",12,1
"[483, 408, 61, 375, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",10,2
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",39,4
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",36,10
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 275, 272]",8,5
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",6,2
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",3,3
"[483, 408, 61, 375, 390, 477, 122]",16,3
"[483, 409, 225, 223, 390, 477, 122]",1,0
"[483, 409, 225, 224, 208, 307]",21,4
"[484, 480, 253, 250, 37, 262, 235]",86,29
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 99, 142]",3,0
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 338]",72,17
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 99, 142]",70,10
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 100, 338]",1,1
"[484, 480, 254, 60, 346, 378, 182, 178]",15,5
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 70, 318]",10,7
"[483, 408, 61, 375, 389, 114, 116, 378, 182, 178]",6,1
"[483, 409, 226, 28, 241]",21,6
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",20,6
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 197, 53]",4,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 198]",34,10
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 198]",2,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 62]",226,70
"[498, 383, 494, 63, 66, 492, 49, 58]",114,18
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",7,0
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 168, 467, 166]",92,20
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 175, 433, 180, 73]",15,4
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 73]",122,30
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 75, 100, 337, 73]",2,0
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 35, 302]",221,108
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 121]",88,40
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 121]",3,3
"[498, 383, 494, 63, 67]",201,70
"[501, 423, 20, 260, 356, 45, 282]",201,71
"[498, 383, 493, 319, 16, 256, 40]",306,61
"[498, 383, 493, 322]",70,31
"[498, 383, 494, 64]",66,20
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",18,8
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",142,47
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",4,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 94]",132,39
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 76, 339, 94]",7,1
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",8,1
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",19,4
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",20,4
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 275, 272]",51,12
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 3, 431, 518, 432, 23, 272]",11,1
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 277, 411, 268]",82,29
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 273, 23, 272]",8,2
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",18,11
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",3,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 122]",34,17
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 122]",2,2
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 224, 208, 307]",58,18
"[501, 423, 20, 260, 356, 45, 280, 360, 364, 340, 344, 26, 332]",6,1
"[498, 383, 493, 319, 16, 256, 37, 262, 235]",196,37
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 177]",269,68
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 338]",10,3
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 99, 142]",7,1
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 178]",34,20
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 70, 318]",7,2
"[501, 423, 20, 260, 356, 45, 280, 360, 362, 11, 43, 241]",49,7
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 428]",3,1
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 428]",3,0
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 105, 428]",6,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",5,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",2,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 428]",2,1
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 198]",3,1
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 427, 137, 132]",3,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",7,3
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",9,6
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",5,2
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",2,2
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 377]",11,4
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 377]",16,8
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 377]",81,20
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 377]",23,6
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 259]",91,32
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 488, 321, 497]",34,18
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 486, 488, 321, 497]",57,25
"[459, 324, 329, 167, 236, 231, 234, 39, 15, 321, 497]",23,9
"[458, 417, 298]",71,13
"[459, 324, 329, 169, 468, 407, 30, 314, 302]",47,12
"[459, 324, 329, 169, 468, 407, 31, 35, 302]",34,12
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 121]",3,5
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 106, 140, 127, 373]",30,9
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 121]",2,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 121]",7,4
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 373]",4,1
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 373]",15,5
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 106, 140, 127, 373]",10,2
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 491]",36,15
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 487]",145,41
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 239, 44]",7,2
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 376, 226, 28, 240, 341, 365]",34,4
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 240, 341, 365]",10,2
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 376, 226, 28, 239, 44]",71,18
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 376, 226, 28, 240, 341, 365]",17,7
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 376, 226, 28, 239, 44]",11,1
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 239, 44]",7,0
"[459, 324, 329, 167, 236, 231, 234, 40]",68,13
"[459, 324, 329, 167, 236, 230, 261, 243, 249]",108,28
"[459, 324, 329, 167, 236, 230, 261, 242, 247]",50,12
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 488, 322]",13,2
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 486, 488, 322]",9,1
"[459, 324, 329, 167, 236, 231, 234, 39, 17]",106,37
"[459, 324, 329, 167, 236, 230, 261, 242, 245, 39, 17]",8,3
"[458, 416, 156, 152]",121,34
"[458, 416, 156, 151, 439, 438, 46, 415, 449]",59,29
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 449]",48,18
"[458, 416, 157, 144, 451, 104]",29,15
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 4, 275, 272]",49,19
"[459, 324, 329, 169, 468, 407, 30, 315, 277, 411, 268]",71,28
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",8,2
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",11,7
"[458, 417, 297, 455, 72, 336, 98, 95, 395]",3,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 395]",3,0
"[458, 416, 157, 144, 451, 102, 98, 95, 395]",8,2
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 395]",7,4
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 106, 140, 127, 374]",4,2
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 122]",3,1
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 122]",3,1
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 375, 390, 477, 122]",2,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 374]",3,2
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 106, 140, 127, 374]",2,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 376, 225, 224, 208, 307]",10,1
