ls_states,ground_truth,observed_nb
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 44]",4,1
"[133, 52, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 240, 341, 365]",2,0
"[134, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 488, 320, 495, 12, 371, 44]",5,2
"[133, 52, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 239, 44]",1,0
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 365]",5,1
"[134, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 253, 250, 40]",5,0
"[134, 130, 127, 372, 119, 114, 116, 380, 333, 231, 234, 40]",11,4
"[134, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 243, 249]",13,3
"[134, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 242, 247]",2,0
"[134, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 488, 322]",7,1
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 42, 10, 363, 361, 281, 357, 22, 383, 493, 322]",2,0
"[134, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 486, 488, 322]",4,0
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 362, 11, 41, 358, 370, 14, 493, 322]",2,1
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 41, 358, 370, 14, 493, 322]",2,0
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",13,1
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",8,0
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 94]",17,4
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",3,0
"[134, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 421, 324, 329, 169, 468, 407, 30, 315, 277, 411, 268]",5,1
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",2,0
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",2,0
"[134, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",5,2
"[135, 429]",46,6
"[134, 130, 127, 374]",64,10
"[133, 52, 199, 193, 194, 196, 217, 307]",149,8
"[134, 130, 127, 372, 119, 114, 116, 380, 335]",12,2
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 69, 179, 312, 461, 176]",5,0
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 100, 338]",10,1
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 99, 142]",10,1
"[134, 130, 127, 372, 119, 114, 116, 378, 182, 177]",4,1
"[134, 130, 127, 372, 119, 114, 116, 378, 182, 178]",1,0
"[134, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 70, 318]",2,0
"[134, 130, 127, 372, 119, 114, 117, 376, 226, 28, 241]",114,22
"[203, 53]",59,9
"[204, 130, 127, 372, 119, 114, 117, 377]",31,4
"[204, 130, 127, 372, 119, 114, 116, 379, 348, 471, 259]",21,4
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 240, 341, 363, 361, 281, 357, 21, 424]",8,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 42, 10, 363, 361, 281, 357, 21, 424]",11,1
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 239, 42, 10, 363, 361, 281, 357, 21, 424]",3,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 363, 361, 281, 357, 21, 424]",14,3
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 168, 467, 166]",6,2
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",9,0
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",9,0
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 73]",24,4
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 271, 267]",5,2
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 31, 35, 302]",11,4
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 267]",2,0
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 314, 302]",18,0
"[204, 130, 127, 373]",311,42
"[204, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 487]",22,3
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 491]",9,2
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 44]",13,0
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 240, 341, 365]",10,1
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 239, 44]",3,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 365]",15,2
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 253, 250, 40]",7,2
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 231, 234, 40]",21,1
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 243, 249]",26,5
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 242, 247]",10,2
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 488, 322]",2,3
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 42, 10, 363, 361, 281, 357, 22, 383, 493, 322]",3,1
"[204, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 486, 488, 322]",9,3
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 362, 11, 41, 358, 370, 14, 493, 322]",3,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 41, 358, 370, 14, 493, 322]",4,0
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",11,1
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",13,2
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 94]",31,5
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",10,0
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",6,1
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",1,0
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",14,4
"[203, 51, 88, 0, 77, 79, 326, 82, 109, 429]",96,15
"[204, 130, 127, 374]",99,4
"[206, 199, 193, 194, 196, 217, 307]",211,33
"[204, 130, 127, 372, 119, 114, 116, 380, 335]",24,3
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 338]",17,0
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 99, 142]",18,2
"[204, 130, 127, 372, 119, 114, 116, 378, 182, 177]",1,0
"[204, 130, 127, 372, 119, 114, 116, 378, 182, 178]",4,1
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 453, 160, 454, 70, 318]",1,0
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 70, 318]",4,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 241]",153,33
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 241]",83,11
"[473, 390, 477, 120, 123, 309, 124, 2, 197, 53]",21,0
"[473, 390, 477, 120, 123, 309, 124, 2, 198]",41,6
"[476, 471, 259]",81,2
"[476, 471, 258, 479, 486, 488, 321, 497]",221,42
"[473, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",88,15
"[473, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",18,7
"[473, 389, 115, 405, 96, 75, 100, 337, 73]",136,4
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 31, 35, 302]",86,11
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 314, 302]",115,18
"[473, 390, 477, 121]",64,10
"[476, 471, 258, 479, 487]",181,11
"[476, 471, 258, 479, 486, 488, 320, 495, 12, 371, 44]",156,27
"[476, 471, 258, 479, 486, 488, 321, 496, 18, 423, 20, 260, 356, 45, 282]",105,19
"[476, 471, 258, 480, 253, 250, 40]",254,53
"[476, 471, 258, 479, 486, 488, 322]",131,13
"[473, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",146,26
"[473, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",18,3
"[473, 389, 115, 405, 96, 76, 339, 94]",164,32
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",76,11
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",18,1
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",13,1
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",109,18
"[473, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",24,1
"[473, 390, 477, 122]",21,2
"[474, 376, 225, 224, 208, 307]",36,3
"[473, 389, 114, 116, 380, 335]",111,22
"[473, 389, 115, 405, 96, 75, 100, 338]",99,7
"[473, 389, 115, 405, 96, 75, 99, 142]",87,4
"[473, 389, 114, 116, 378, 182, 178]",20,3
"[473, 389, 115, 405, 96, 75, 100, 337, 70, 318]",11,1
"[474, 376, 226, 28, 241]",49,4
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",6,2
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 197, 53]",3,0
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 198]",16,1
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 198]",1,0
"[483, 408, 62]",81,6
"[484, 479, 486, 488, 321, 497]",111,11
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",53,12
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",17,2
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 168, 467, 166]",2,0
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",2,0
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 73]",79,10
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 100, 337, 73]",2,0
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 35, 302]",154,28
"[483, 408, 61, 375, 390, 477, 121]",30,5
"[483, 409, 225, 223, 390, 477, 121]",1,0
"[484, 479, 487]",91,6
"[484, 479, 486, 488, 320, 495, 12, 371, 44]",66,15
"[484, 479, 486, 488, 321, 496, 18, 423, 20, 260, 356, 45, 282]",48,3
"[484, 480, 253, 250, 40]",139,20
"[484, 479, 486, 488, 322]",71,12
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",15,3
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",80,4
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",4,0
"[483, 408, 61, 375, 389, 115, 405, 96, 76, 339, 94]",83,7
"[483, 409, 225, 223, 389, 115, 405, 96, 76, 339, 94]",3,0
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 34, 30, 315, 277, 411, 268]",22,1
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",6,0
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",12,0
"[483, 408, 61, 375, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",10,0
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",39,2
"[484, 480, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",36,2
"[484, 480, 253, 250, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 275, 272]",8,0
"[483, 408, 61, 375, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",6,0
"[483, 409, 225, 223, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",3,1
"[483, 408, 61, 375, 390, 477, 122]",16,3
"[483, 409, 225, 223, 390, 477, 122]",1,0
"[483, 409, 225, 224, 208, 307]",21,2
"[484, 480, 253, 250, 37, 262, 235]",86,13
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 99, 142]",3,2
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 338]",72,10
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 99, 142]",70,8
"[483, 409, 225, 223, 389, 115, 405, 96, 75, 100, 338]",1,0
"[484, 480, 254, 60, 346, 378, 182, 178]",15,3
"[483, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 70, 318]",10,0
"[483, 408, 61, 375, 389, 114, 116, 378, 182, 178]",6,0
"[483, 409, 226, 28, 241]",21,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",20,0
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 197, 53]",4,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 2, 198]",34,4
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 2, 198]",2,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 62]",226,42
"[498, 383, 494, 63, 66, 492, 49, 58]",114,14
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",7,0
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 168, 467, 166]",92,7
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 175, 433, 180, 73]",15,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 73]",122,10
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 75, 100, 337, 73]",2,1
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 35, 302]",221,35
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 121]",88,7
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 121]",3,1
"[498, 383, 494, 63, 67]",201,39
"[501, 423, 20, 260, 356, 45, 282]",201,44
"[498, 383, 493, 319, 16, 256, 40]",306,43
"[498, 383, 493, 322]",70,2
"[498, 383, 494, 64]",66,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",18,4
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",142,36
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",4,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 76, 339, 94]",132,13
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 389, 115, 405, 96, 76, 339, 94]",7,1
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",8,0
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",19,0
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",20,0
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 275, 272]",51,0
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 3, 431, 518, 432, 23, 272]",11,1
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 277, 411, 268]",82,4
"[498, 383, 493, 319, 16, 256, 36, 246, 244, 502, 399, 34, 30, 315, 278, 4, 273, 23, 272]",8,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",18,2
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 120, 123, 309, 124, 1, 128, 139, 107]",3,1
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 390, 477, 122]",34,5
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 223, 390, 477, 122]",2,1
"[498, 383, 494, 63, 66, 492, 49, 56, 409, 225, 224, 208, 307]",58,11
"[501, 423, 20, 260, 356, 45, 280, 360, 364, 340, 344, 26, 332]",6,0
"[498, 383, 493, 319, 16, 256, 37, 262, 235]",196,39
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 177]",269,33
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 338]",10,0
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 99, 142]",7,0
"[498, 383, 494, 63, 65, 490, 254, 60, 346, 378, 182, 178]",34,5
"[498, 383, 494, 63, 66, 492, 49, 56, 408, 61, 375, 389, 115, 405, 96, 75, 100, 337, 70, 318]",7,2
"[501, 423, 20, 260, 356, 45, 280, 360, 362, 11, 43, 241]",49,7
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 428]",3,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 428]",3,0
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 105, 428]",6,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",5,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 197, 53]",2,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 428]",2,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 120, 123, 309, 124, 2, 198]",3,1
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 427, 137, 132]",3,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",7,0
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",9,1
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",5,0
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 105, 425, 108, 84, 465, 85, 87, 192, 202]",2,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 377]",11,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 377]",16,1
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 377]",81,7
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 377]",23,3
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 259]",91,13
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 488, 321, 497]",34,5
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 486, 488, 321, 497]",57,8
"[459, 324, 329, 167, 236, 231, 234, 39, 15, 321, 497]",23,3
"[458, 417, 298]",71,2
"[459, 324, 329, 169, 468, 407, 30, 314, 302]",47,4
"[459, 324, 329, 169, 468, 407, 31, 35, 302]",34,2
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 121]",3,0
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 106, 140, 127, 373]",30,2
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 121]",2,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 121]",7,1
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 373]",4,1
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 373]",15,1
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 106, 140, 127, 373]",10,1
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 491]",36,1
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 487]",145,23
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 239, 44]",7,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 376, 226, 28, 240, 341, 365]",34,2
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 240, 341, 365]",10,0
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 376, 226, 28, 239, 44]",71,6
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 376, 226, 28, 240, 341, 365]",17,2
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 376, 226, 28, 239, 44]",11,1
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 376, 226, 28, 239, 44]",7,0
"[459, 324, 329, 167, 236, 231, 234, 40]",68,6
"[459, 324, 329, 167, 236, 230, 261, 243, 249]",108,25
"[459, 324, 329, 167, 236, 230, 261, 242, 247]",50,8
"[459, 324, 329, 167, 236, 231, 233, 347, 59, 68, 255, 488, 322]",13,1
"[459, 324, 329, 167, 236, 231, 233, 348, 471, 258, 479, 486, 488, 322]",9,0
"[459, 324, 329, 167, 236, 231, 234, 39, 17]",106,8
"[459, 324, 329, 167, 236, 230, 261, 242, 245, 39, 17]",8,0
"[458, 416, 156, 152]",121,14
"[458, 416, 156, 151, 439, 438, 46, 415, 449]",59,9
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 449]",48,6
"[458, 416, 157, 144, 451, 104]",29,3
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 4, 275, 272]",49,3
"[459, 324, 329, 169, 468, 407, 30, 315, 277, 411, 268]",71,5
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",8,0
"[459, 324, 329, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",11,1
"[458, 417, 297, 455, 72, 336, 98, 95, 395]",3,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 98, 95, 395]",3,0
"[458, 416, 157, 144, 451, 102, 98, 95, 395]",8,2
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 395]",7,0
"[458, 416, 157, 144, 451, 102, 98, 95, 392, 406, 106, 140, 127, 374]",4,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 375, 390, 477, 122]",3,1
"[458, 416, 157, 144, 451, 102, 99, 141, 117, 375, 390, 477, 122]",3,0
"[458, 417, 297, 455, 72, 336, 99, 141, 117, 375, 390, 477, 122]",2,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 98, 95, 392, 406, 106, 140, 127, 374]",3,2
"[458, 417, 297, 455, 72, 336, 98, 95, 392, 406, 106, 140, 127, 374]",2,0
"[458, 416, 156, 151, 440, 48, 438, 46, 415, 448, 102, 99, 141, 117, 376, 225, 224, 208, 307]",10,0
"[458, 416, 156, 151, 439, 438, 46, 415, 448, 102, 99, 141, 117, 376, 225, 224, 208, 307]",7,2
